Callsign,Track Miles,3Di Score,Fuel Burn,CO2
ABD713,3846.4,0.54384,82.8772,263.549
ABR1CL,138.503,27.635,0,0
ABR1CL1,434.631,9.27698,0,0
ABR2CL,419.701,5.87582,0,0
ABR2CL1,106.598,0.599305,0,0
ABR5NA,157.013,21.2244,0,0
ABR6BN,504.13,3.15813,0,0
ABR6NA,137.031,7.10421,0,0
ABR7BN,846.958,66.3258,0,0
ABW303,3872.37,2.6451,84.4121,268.431
ABW402,4267.98,0.113922,90.5608,287.983
ABW9143,1358.41,0.337917,33.6057,106.866
ABW91431,232.668,1.74023,8.90717,28.3248
ACA2034,3245.96,1.6761,36.0515,114.644
ACA807,4328.54,1.09078,42.5097,135.181
ACA824,3242.56,0.293032,34.6729,110.26
ACA825,3249.7,0.491252,36.0835,114.745
ACA832,3037.19,1.20576,33.9487,107.957
ACA833,3022.1,0.753866,35.7515,113.69
ACA835,3202.95,0.464911,35.5815,113.149
ACA838,3245.27,0.444926,32.4348,103.143
ACA839,3258.13,0.8022,34.6557,110.205
ACA841,4394.95,0.917416,43.0997,137.057
ACA842,2934.33,3.01975,31.6965,100.795
ACA847,3666.74,2.08681,39.3396,125.1
ACA848,3109.84,0.889007,54.9729,174.814
ACA849,3085.9,0.191436,54.3587,172.861
ACA850,3790.63,0.135115,39.8523,126.73
ACA851,3865.38,1.90728,40.2458,127.982
ACA854,4096.63,0.166555,43.8365,139.4
ACA855,4149.86,1.33461,42.8377,136.224
ACA857,3085.9,0.191436,54.3587,172.861
ACA858,3109.84,0.889007,54.9729,174.814
ACA859,3084.81,0.159571,33.3471,106.044
ACA860,2495.53,0.792276,13.0077,41.3643
ACA861,2483.59,0.359521,13.8747,44.1215
ACA865,2819.17,0.18042,50.1668,159.53
ACA868,3101.01,0.631613,33.3118,105.932
ACA869,3119.78,1.17881,54.887,174.541
ACA870,3002.42,0.658667,53.503,170.14
ACA871,2997.57,0.512575,52.9353,168.334
ACA873,3453.19,0.787214,61.2246,194.694
ACA875,3186.35,0.768449,32.2481,102.549
ACA876,3438.36,0.398403,59.8406,190.293
ACA877,3453.19,0.787214,61.2246,194.694
ACA879,3520.47,0.460612,41.1201,130.762
ACA881,3266.42,0.501272,58.2434,185.214
ACA883,3450.26,1.78548,59.9975,190.792
ACA888,2917.29,1.0156,29.8055,94.7814
ACA889,2889.78,0.159891,29.8998,95.0814
ACA890,3887.62,1.50834,66.5397,211.596
ACA891,3829.41,0.14218,65.7402,209.054
ACA893,3577.89,0.628942,40.4912,128.762
ACA894,3616.25,1.22927,37.6702,119.791
ACA895,3597.99,0.76993,38.247,121.625
ACA896,4096.63,0.166555,42.6901,135.754
ACA897,4149.86,1.33461,42.8377,136.224
ADN82K,491.214,0.175397,1.10277,3.50682
AEA267,1137.55,2.41044,2.83711,9.02203
AEA268,1113.86,0.49159,6.23897,19.8399
AEA61QZ,693.614,5.1895,3.15393,10.0295
AEA6KM,670.433,2.01727,2.96341,9.42364
AEA80LZ,693.614,5.1895,3.15393,10.0295
AEA87AK,670.433,2.01727,2.96341,9.42364
AEA986,1564.12,2.01504,8.49534,27.0152
AEA987,778.267,3.31076,4.52137,14.378
AEE2EG,1315.41,0.396091,8.12072,25.8239
AEE2FL,1315.41,0.396091,8.00856,25.4672
AEE2PH,1574.95,2.2301,8.49147,27.0029
AEE601,1314.48,0.332364,7.97929,25.3742
AEE609,1355.85,3.16664,8.24687,26.2251
AEE633,1553.38,0.971096,8.38526,26.6651
AEE6AV,1315.41,0.396091,8.00856,25.4672
