Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
188,STK3AP,287.970586,11.8015,1.57562,5.01046,2444
189,SWR435,287.970586,11.8015,1.53873,4.89317,2382
190,SWR43P,287.970586,11.8015,1.49131,4.74237,2372
191,VCG1UB,287.970586,11.8015,0.533032,1.69504,2584
192,VCG2XP,287.970586,11.8015,0.439046,1.39617,2618
193,AZA217,287.970586,11.8015,1.48289,4.7156,2423
194,CFE1AM,287.970586,11.8015,1.32255,4.20572,2409
195,CFE33E,287.970586,11.8015,1.56161,4.96593,2364
196,CFE47L,287.970586,11.8015,1.56472,4.97582,2390
197,CFE5VZ,287.970586,11.8015,1.58222,5.03144,2369
198,CFE7349,287.970586,11.8015,1.42505,4.53165,2412
199,CFE79J,287.970586,11.8015,1.55224,4.93611,2388
200,EZY82XF,287.970586,11.8015,1.82304,5.79728,2274
201,NJE154U,287.970586,11.8015,0.550328,1.75004,2555
202,STK3AP,287.970586,11.8015,1.56069,4.963,2356
203,SWR435,287.970586,11.8015,1.54082,4.8998,2383
204,SWR43P,287.970586,11.8015,1.5062,4.78973,2375
205,SWR44K,287.970586,11.8015,1.47745,4.69828,2369
206,AZA217,287.970586,11.8015,1.43636,4.56763,2414
207,AZA227,287.970586,11.8015,1.41111,4.48734,2409
208,AZA72B,287.970586,11.8015,1.41557,4.50151,2411
209,AZA8009,287.970586,11.8015,1.41557,4.50151,2411
210,AZA82J,287.970586,11.8015,1.33703,4.25176,2402
211,CFE1AM,287.970586,11.8015,1.52835,4.86015,2355
212,CFE47L,287.970586,11.8015,1.41002,4.48388,2410
213,CFE5VZ,287.970586,11.8015,1.22912,3.90861,2381
214,CFE7349,287.970586,11.8015,1.40312,4.46194,2409
215,CFE79J,287.970586,11.8015,1.53928,4.89492,2385
216,ETI61N,287.970586,11.8015,0.432178,1.37433,2551
217,NJE081A,287.970586,11.8015,0.566626,1.80187,2576
218,NJE185G,287.970586,11.8015,0.730497,2.32298,2331
219,REN60W,287.970586,11.8015,0.52371,1.6654,2573
220,SWR43P,287.970586,11.8015,1.55324,4.9393,2385
221,SWR44K,287.970586,11.8015,1.46608,4.66215,2367
222,CFE1AM,287.970586,11.8015,1.52146,4.83824,2353
223,CFE47L,287.970586,11.8015,1.43664,4.56851,2362
224,CFE5VZ,287.970586,11.8015,1.52558,4.85134,2354
225,CFE79J,287.970586,11.8015,1.48093,4.70934,2371
226,SWR435,287.970586,11.8015,1.47569,4.69271,2369
