Airspace,Function,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
0d881009-3275-4b10-ba22-15ea79989324,Delta,0,0,0,0,0,0,0
269e9255-45fc-4f9c-9ccc-098bcd11e928,Baseline,0,0,0,0,0,0,0
269e9255-45fc-4f9c-9ccc-098bcd11e928,Current,0,0,0,0,0,0,0
269e9255-45fc-4f9c-9ccc-098bcd11e928,Delta,0,0,0,0,0,0,0
7791d48b-6d5f-4692-bf86-f40182e4b806,Baseline,0,0,0,0,0,0,0
7791d48b-6d5f-4692-bf86-f40182e4b806,Current,0,0,0,0,0,0,0
7791d48b-6d5f-4692-bf86-f40182e4b806,Delta,0,0,0,0,0,0,0
d1f9836b-b095-4620-92bc-d324f131b164,Baseline,0,0,0,0,0,0,0
d1f9836b-b095-4620-92bc-d324f131b164,Current,0,0,0,0,0,0,0
d1f9836b-b095-4620-92bc-d324f131b164,Delta,0,0,0,0,0,0,0
d718cd34-971d-4d48-afe8-dd11f4dbcd7c,Baseline,0,0,0,0,0,0,0
d718cd34-971d-4d48-afe8-dd11f4dbcd7c,Current,0,0,0,0,0,0,0
d718cd34-971d-4d48-afe8-dd11f4dbcd7c,Delta,0,0,0,0,0,0,0
dfc207c2-ff58-4cc4-9eb4-a15ea340aeb0,Baseline,0,0,0,0,0,0,0
dfc207c2-ff58-4cc4-9eb4-a15ea340aeb0,Current,0,0,0,0,0,0,0
dfc207c2-ff58-4cc4-9eb4-a15ea340aeb0,Delta,0,0,0,0,0,0,0
ed57c61f-18b1-42a5-99f2-088009662a6b,Baseline,0,0,0,0,0,0,0
ed57c61f-18b1-42a5-99f2-088009662a6b,Current,0,0,0,0,0,0,0
ed57c61f-18b1-42a5-99f2-088009662a6b,Delta,0,0,0,0,0,0,0
c2526c6e-4cc6-43fe-b903-e5bc7fdecbf3,Baseline,0,0,0,0,0,0,0
c2526c6e-4cc6-43fe-b903-e5bc7fdecbf3,Current,0,0,0,0,0,0,0
c2526c6e-4cc6-43fe-b903-e5bc7fdecbf3,Delta,0,0,0,0,0,0,0
aee6c101-a524-4d55-a9eb-9141a208007b,Baseline,0,0,0,0,0,0,0
aee6c101-a524-4d55-a9eb-9141a208007b,Current,0,0,0,0,0,0,0
aee6c101-a524-4d55-a9eb-9141a208007b,Delta,0,0,0,0,0,0,0
dfa90844-bfb3-43b3-97c6-cda26691b305,Baseline,0,0,0,0,0,0,0
dfa90844-bfb3-43b3-97c6-cda26691b305,Current,0,0,0,0,0,0,0
dfa90844-bfb3-43b3-97c6-cda26691b305,Delta,0,0,0,0,0,0,0
92c2352b-16be-4c20-b651-e7c2b74dc771,Baseline,0,0,0,0,0,0,0
92c2352b-16be-4c20-b651-e7c2b74dc771,Current,0,0,0,0,0,0,0
92c2352b-16be-4c20-b651-e7c2b74dc771,Delta,0,0,0,0,0,0,0
d4d70639-9bc3-4114-91fb-52a04f186980,Baseline,0,0,0,0,0,0,0
d4d70639-9bc3-4114-91fb-52a04f186980,Current,0,0,0,0,0,0,0
d4d70639-9bc3-4114-91fb-52a04f186980,Delta,0,0,0,0,0,0,0
9a07a4dd-c761-46dd-812d-11f81fc9bbdf,Baseline,0,0,0,0,0,0,0
9a07a4dd-c761-46dd-812d-11f81fc9bbdf,Current,0,0,0,0,0,0,0
9a07a4dd-c761-46dd-812d-11f81fc9bbdf,Delta,0,0,0,0,0,0,0
7bcea7eb-04f9-4b39-8e34-519bd1d17ae7,Baseline,0,0,0,0,0,0,0
7bcea7eb-04f9-4b39-8e34-519bd1d17ae7,Current,0,0,0,0,0,0,0
7bcea7eb-04f9-4b39-8e34-519bd1d17ae7,Delta,0,0,0,0,0,0,0
abd5e7a0-d346-40ae-8378-318f3f6499a4,Baseline,0,0,0,0,0,0,0
abd5e7a0-d346-40ae-8378-318f3f6499a4,Current,0,0,0,0,0,0,0
abd5e7a0-d346-40ae-8378-318f3f6499a4,Delta,0,0,0,0,0,0,0
383ed861-52aa-4ac5-8abe-b4703dbbc703,Baseline,0,0,0,0,0,0,0
