Callsign,Track Miles,3Di Score,Fuel Burn,CO2
BAW179,879.6,56.3802,16.1455,51.3428
BAW17PA,476.405,0.165828,10.0794,32.0525
BAW17V,654.264,7.12531,13.2622,42.1739
BAW18,402.27,1.79994,3.20771,10.2005
BAW183,877.127,55.7606,25.4237,80.8473
BAW185,888.124,56.2283,16.4378,52.2721
BAW188,596.224,2.29203,7.80033,24.805
BAW189,879.6,56.3802,16.1455,51.3428
BAW18A,568.106,3.24388,7.36804,23.4304
BAW18LX,290.693,4.34106,2.20372,7.00783
BAW18VT,427.874,3.3664,3.24287,10.3123
BAW190,568.106,3.24388,11.3097,35.9648
BAW196E,568.106,3.24388,7.36804,23.4304
BAW198,271.628,0.269762,2.8413,9.03533
BAW199,815.71,185.589,15.2007,48.3384
BAW19DG,192.36,2.21217,1.65994,5.27861
BAW19LX,314.218,11.9538,2.32312,7.38753
BAW19V,967.085,53.4344,26.7003,84.907
BAW1CC,826.551,269.933,5.24502,16.6791
BAW1DL,302.553,10.6377,2.23363,7.10294
BAW1YC,931.857,54.094,12.2553,38.9719
BAW2038,651.337,14.6368,8.63092,27.4463
BAW205E,621.049,24.6279,2.82537,8.98467
BAW2063,2614.44,935.048,40.7393,129.551
BAW207,476.56,1.18646,16.5387,52.593
BAW209,476.56,1.18646,16.5387,52.593
BAW20K,465.768,3.0526,2.089,6.64302
BAW211J,168.344,18.4915,1.48706,4.72885
BAW2155,429.318,1.29168,9.36889,29.7931
BAW2169,476.405,0.165828,10.114,32.1626
BAW216P,465.768,3.0526,1.9718,6.27033
BAW21G,879.6,56.3802,19.0074,60.4434
BAW21PJ,476.405,0.165828,10.0832,32.0645
BAW2205,476.405,0.165828,10.0832,32.0645
BAW222,615.204,1.34292,5.64915,17.9643
BAW2238,421.581,9.15981,5.18413,16.4855
BAW224,568.106,3.24388,4.90626,15.6019
BAW225,879.6,56.3802,11.705,37.2218
BAW2273,581.586,2.22282,11.6719,37.1168
BAW2279,633.641,3.13356,12.473,39.664
BAW22B,879.6,56.3802,11.0878,35.2593
BAW22C,568.106,3.24388,4.90626,15.6019
BAW22KV,1321.37,493.779,7.27167,23.1239
BAW22LV,2084.11,738.075,11.247,35.7654
BAW232,420.247,0.160839,3.56707,11.3433
BAW233,536.746,30.1663,8.05649,25.6196
BAW234,420.339,0.180442,2.03205,6.46191
BAW235,1022.12,138.588,6.7695,21.527
BAW236,420.339,0.180442,1.99612,6.34766
BAW237,1033.87,132.109,6.83234,21.7268
BAW239,879.6,56.3802,16.1455,51.3428
BAW23T,588.758,4.28843,7.75328,24.6554
BAW242,588.758,4.28843,5.43722,17.2904
BAW243,476.56,1.18646,7.39528,23.517
BAW244,889.011,91.3258,12.3016,39.119
BAW245,695.297,4.16359,13.296,42.2812
