Airspace,Key,Function,TimeOfDay,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,08:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,08:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,08:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,08:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,08:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,09:00,1,0,0,1,0,0,7
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,09:00,1,0,0,1,0,0,7
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,09:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,09:10,0,0,0,0,0,1,8
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,09:10,0,0,0,0,0,1,8
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,09:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,09:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,09:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,09:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,09:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,09:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,09:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,09:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,09:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,09:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,09:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,09:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,09:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,10:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,10:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,10:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,10:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,10:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,10:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,10:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,10:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,10:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,10:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,10:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,10:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,10:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,10:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,10:40,0,0,0,0,0,0,0
