Airspace,Key,Function,TimeOfDay,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,08:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,08:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,08:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,08:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,08:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,08:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,08:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,08:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,08:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,08:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,09:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,09:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,09:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,09:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,09:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,09:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,09:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,09:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,09:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,09:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,09:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,09:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,09:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,09:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,09:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,09:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,09:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,09:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,10:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,10:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,10:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,10:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,10:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,10:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,10:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,10:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,10:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,10:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,10:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,10:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,10:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,10:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,10:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,10:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,10:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,10:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,11:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,11:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,11:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,11:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,11:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,11:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,11:20,0,0,0,0,0,0,0
