Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
332,ELY314,217.337217,42.1791,2.37927,7.56607,2081
333,WUK100E,217.337217,42.5891,2.17287,6.90974,2080
334,WUK19CD,217.337217,42.5461,2.30346,7.32499,2079
335,WUK472,217.337217,42.5891,2.17287,6.90974,2080
336,WUK588,217.337217,42.5891,2.17287,6.90974,2080
337,EZY46AK,217.337217,40.9516,1.94401,6.18196,2142
338,WUK4485,217.337217,42.5891,2.17287,6.90974,2080
339,EZY86QA,217.337217,43.0421,2.01566,6.40979,2075
340,TOM2MB,217.337217,42.9013,3.28541,10.4476,2075
341,EZY75YV,217.337217,42.6761,2.08807,6.64007,2083
342,EZY64RU,217.337217,42.6761,2.08807,6.64007,2083
343,WUK5316,217.337217,42.5461,2.30346,7.32499,2079
344,WUK1EF,217.337217,42.4114,2.27926,7.24804,2075
345,EZY19QZ,217.337217,43.0421,2.01566,6.40979,2075
346,WUK6PX,217.337217,42.5461,2.30346,7.32499,2079
347,EZY86DM,217.337217,43.1779,2.04993,6.51879,2075
348,WUK1798,217.337217,42.5461,2.30346,7.32499,2079
349,EZY2083,217.337217,42.5891,2.17287,6.90974,2080
350,EZY91PK,217.337217,42.5891,2.17287,6.90974,2080
351,WZZ354,217.337217,42.5891,2.17287,6.90974,2080
352,WZZ6ZM,217.337217,42.5891,2.17287,6.90974,2080
353,WZZ3TK,217.337217,42.5891,2.17287,6.90974,2080
354,EZY43JV,217.337217,42.5891,2.17287,6.90974,2080
355,FOO768M,217.337217,40.6339,2.22239,7.0672,2148
356,WZZ8TV,217.337217,42.5461,2.30346,7.32499,2079
357,WZZ4AR,217.337217,42.5891,2.17287,6.90974,2080
358,WZZ3AT,217.337217,42.5891,2.17287,6.90974,2080
359,WZZ1BE,217.337217,42.5891,2.17287,6.90974,2080
360,WZZ131,217.337217,42.5891,2.17287,6.90974,2080
361,WZZ3VS,217.337217,42.5461,2.30346,7.32499,2079
362,WZZ6XJ,217.337217,42.3352,2.44413,7.77234,2076
363,WUK526,217.337217,42.5461,2.30346,7.32499,2079
364,WZZ8GN,217.337217,42.5891,2.17287,6.90974,2080
365,RYR8GL,217.337217,42.8735,2.24548,7.14064,2077
366,RYR4YV,217.337217,42.7482,2.22308,7.06939,2074
367,WUK88,217.337217,42.5891,2.17287,6.90974,2080
368,WZZ5ZU,217.337217,42.5461,2.30346,7.32499,2079
369,WZZ62,217.337217,42.4459,2.14049,6.80676,2079
370,EZY2157,217.337217,40.9516,1.94401,6.18196,2142
371,AXG0417,9.209908,47.3615,0.0644069,0.204814,193
372,WZZ212,217.337217,42.5891,2.17287,6.90974,2080
373,WUK52,217.337217,42.5461,2.30346,7.32499,2079
374,BCS6717,217.337217,42.4057,4.38946,13.9585,2056
375,BMS6HU,217.337217,42.8735,2.24548,7.14064,2077
376,ELY312,217.337217,42.1791,2.37927,7.56607,2081
377,KLJ2165,217.337217,41.8638,0.841941,2.67737,2169
378,RYR74E,217.337217,42.8735,2.24548,7.14064,2077
379,IJM070,217.337217,43.1238,0.676724,2.15198,2101
380,LDX2,217.337217,42.8125,1.37972,4.3875,2041
381,BMS9VQ,217.337217,42.8735,2.24548,7.14064,2077
382,WUK1VN,217.337217,42.5461,2.30346,7.32499,2079
383,EZY79EZ,217.337217,40.7555,2.0656,6.5686,2115
384,WUK838,217.337217,42.7346,2.18446,6.94658,2079
385,WUK3728,217.337217,42.5891,2.17287,6.90974,2080
386,EZY2085,217.337217,42.4459,2.14049,6.80676,2079
387,EZY12VV,217.337217,43.0421,2.01566,6.40979,2075
388,VPBXB,217.337217,42.8546,1.40091,4.45489,2061
389,EZY86FH,217.337217,43.1779,2.04993,6.51879,2075
390,EZY31XF,217.337217,42.1236,1.96067,6.23495,2067
391,WZZ6ER,217.337217,42.5891,2.17287,6.90974,2080
392,TYW524P,6.763798,2.36982,0.0337378,0.107286,169
393,EZY56DH,217.337217,43.1779,2.04993,6.51879,2075
394,WUK625,217.337217,42.5461,2.30346,7.32499,2079
395,WZZ518,217.337217,42.5461,2.30346,7.32499,2079
396,WUK4451,217.337217,42.5891,2.17287,6.90974,2080
397,WZZ1AC,217.337217,42.5461,2.30346,7.32499,2079
398,WUK687,217.337217,42.5891,2.17287,6.90974,2080
399,WZZ471,217.337217,42.5891,2.17287,6.90974,2080
400,MJE944,6.234838,2.46551,0.0559552,0.177938,125
401,NJE150Y,217.337217,42.342,0.683349,2.17305,2101
402,WZZ13BB,217.337217,42.5461,2.30346,7.32499,2079
403,TIE417S,217.337217,41.9469,0.421713,1.34105,2289
404,GAC230U,217.337217,40.9942,0.280374,0.891588,2950
405,AHO277F,217.337217,42.3602,0.42281,1.34453,2347
406,WZZ560,217.337217,42.3352,2.44413,7.77234,2076
407,WUK5DX,217.337217,42.5461,2.30346,7.32499,2079
408,WUK6424,217.337217,42.5891,2.17287,6.90974,2080
409,WUK1088,217.337217,42.5461,2.30346,7.32499,2079
